LinkID,PositionX (m),PositionY (m),PositionZ (m)
AUTO_000001,-456.482,996.294,0.400
AUTO_000002,-457.056,997.074,0.585
AUTO_000003,-456.193,996.881,0.231
AUTO_000004,-456.659,997.633,0.078
AUTO_000005,-455.590,998.093,-0.054
AUTO_000006,-456.588,998.723,0.773
AUTO_000007,-456.407,1000.262,0.043
AUTO_000008,-456.904,1001.564,0.411
AUTO_000009,-456.545,1002.522,0.510
AUTO_000010,-457.200,1003.153,0.006
AUTO_000011,-456.365,1003.950,0.548
AUTO_000012,-456.605,1005.633,0.411
AUTO_000013,-456.593,1006.656,0.323
AUTO_000014,-456.686,1007.843,0.241
AUTO_000015,-456.461,1009.061,-0.116
AUTO_000016,-456.467,1010.280,0.540
AUTO_000017,-456.341,1011.381,-0.102
AUTO_000018,-456.236,1012.958,-0.021
AUTO_000019,-455.983,1014.397,0.179
AUTO_000020,-456.759,1015.062,0.412
AUTO_000021,-456.239,1016.200,0.242
AUTO_000022,-456.090,1017.235,0.487
AUTO_000023,-456.636,1018.069,0.459
AUTO_000024,-456.417,1018.881,0.646
AUTO_000025,-456.657,1020.471,0.297
AUTO_000026,-455.911,1021.399,0.469
AUTO_000027,-456.281,1022.680,0.558
AUTO_000028,-456.505,1023.668,0.347
AUTO_000029,-456.067,1024.973,0.179
AUTO_000030,-456.215,1026.384,0.193
AUTO_000031,-455.935,1027.512,0.001
AUTO_000032,-456.116,1028.617,-0.387
AUTO_000033,-456.113,1029.899,0.018
AUTO_000034,-455.476,1030.995,-0.405
AUTO_000035,-456.297,1031.243,-0.029
AUTO_000036,-456.665,1032.279,0.134
AUTO_000037,-456.617,1033.281,0.493
AUTO_000038,-456.173,1034.338,0.074
AUTO_000039,-456.059,1035.760,-0.144
AUTO_000040,-456.202,1036.892,0.036
AUTO_000041,-455.962,1038.473,0.499
AUTO_000042,-455.827,1039.624,0.227
AUTO_000043,-456.666,1040.676,-0.168
AUTO_000044,-456.456,1041.637,0.033
AUTO_000045,-456.221,1043.031,0.252
AUTO_000046,-456.284,1044.107,0.109
AUTO_000047,-455.772,1045.122,0.050
AUTO_000048,-456.579,1045.431,-0.543
AUTO_000049,-456.240,1046.346,0.484
AUTO_000050,-455.942,1047.330,0.600
AUTO_000051,-455.941,1048.628,0.182
AUTO_000052,-455.578,1049.585,0.139
AUTO_000053,-456.177,1051.672,0.543
AUTO_000054,-456.376,1052.750,0.245
AUTO_000055,-455.981,1054.654,-0.122
AUTO_000056,-456.491,1056.026,0.183
AUTO_000057,-456.870,1057.597,0.086
AUTO_000058,-456.346,1060.071,0.308
AUTO_000059,-456.441,1061.171,-0.208
AUTO_000060,-456.359,1062.895,-0.082
AUTO_000061,-456.540,1063.922,-0.119
AUTO_000062,-456.576,1065.106,0.542
AUTO_000063,-456.323,1067.444,-0.104
AUTO_000064,-456.544,1068.579,0.117
AUTO_000065,-456.326,1070.745,0.422
AUTO_000066,-457.077,1072.606,0.128
AUTO_000067,-456.064,1073.455,0.068
AUTO_000068,-456.357,1075.125,0.449
AUTO_000069,-457.141,1075.917,0.317
AUTO_000070,-456.629,1077.765,0.471
AUTO_000071,-456.731,1079.575,-0.156
AUTO_000072,-456.209,1081.407,0.591
AUTO_000073,-456.748,1083.720,0.099
AUTO_000074,-456.220,1085.384,-0.185
AUTO_000075,-456.087,1087.110,0.256
AUTO_000076,-457.146,1087.454,0.125
AUTO_000077,-456.742,1089.298,0.291
AUTO_000078,-456.767,1090.942,0.344
AUTO_000079,-457.108,1092.380,0.491
AUTO_000080,-456.473,1093.452,0.249
AUTO_000081,-457.042,1094.791,-0.421
AUTO_000082,-456.369,1096.948,-0.241
AUTO_000083,-456.720,1098.181,0.177
AUTO_000084,-456.945,1101.364,0.183
AUTO_000085,-456.369,1103.119,0.258
AUTO_000086,-457.369,1104.661,-0.142
AUTO_000087,-456.245,1104.924,-0.090
AUTO_000088,-456.824,1106.496,0.382
AUTO_000089,-456.460,1107.779,-0.252
AUTO_000090,-456.486,1109.520,-0.243
AUTO_000091,-456.327,1110.748,0.371
AUTO_000092,-456.746,1111.604,-0.149
AUTO_000093,-456.691,1112.943,0.549
AUTO_000094,-456.776,1114.328,0.090
AUTO_000095,-456.578,1116.731,1.024
AUTO_000096,-456.779,1118.163,0.231
AUTO_000097,-456.679,1119.774,0.360
AUTO_000098,-457.081,1121.977,0.094
AUTO_000099,-456.624,1123.199,0.456
AUTO_000100,-456.234,1125.218,-0.053
AUTO_000101,-456.736,1128.121,-0.349
AUTO_000102,-456.889,1130.855,0.461
AUTO_000103,-456.580,1131.974,0.793
