LinkID,PositionX (m),PositionY (m),PositionZ (m)
A219BS010101,127.012,1980.893,-0.540
A219BS010101,127.366,1980.540,-0.541
A219BS010101,127.720,1980.186,-0.541
A219BS010101,128.074,1979.833,-0.542
A219BS010101,128.428,1979.481,-0.544
A219BS010101,128.784,1979.129,-0.545
A219BS010101,129.134,1978.773,-0.546
A219BS010101,129.483,1978.414,-0.547
A219BS010101,129.830,1978.054,-0.548
A219BS010101,130.176,1977.694,-0.548
A219BS010101,130.527,1977.337,-0.550
A219BS010101,130.881,1976.984,-0.551
A219BS010101,131.235,1976.631,-0.553
A219BS010101,131.583,1976.272,-0.555
A219BS010101,131.926,1975.908,-0.556
A219BS010101,132.266,1975.542,-0.557
A219BS010101,132.606,1975.175,-0.558
A219BS010101,132.945,1974.807,-0.559
A219BS010101,133.284,1974.440,-0.560
A219BS010101,133.622,1974.072,-0.561
A219BS010101,133.961,1973.704,-0.563
A219BS010101,134.300,1973.336,-0.564
A219BS010101,134.636,1972.966,-0.565
A219BS010101,134.971,1972.595,-0.567
A219BS010101,135.306,1972.224,-0.568
A219BS010101,135.640,1971.852,-0.569
A219BS010101,135.973,1971.479,-0.570
A219BS010101,136.309,1971.108,-0.572
A219BS010101,136.645,1970.738,-0.574
A219BS010101,136.983,1970.370,-0.576
A219BS010101,137.317,1969.998,-0.577
A219BS010101,137.649,1969.624,-0.579
A219BS010101,137.981,1969.250,-0.580
A219BS010101,138.310,1968.873,-0.580
A219BS010101,138.637,1968.496,-0.580
A219BS010101,138.964,1968.117,-0.580
A219BS010101,139.291,1967.739,-0.580
A219BS010101,139.617,1967.360,-0.580
A219BS010101,139.944,1966.981,-0.580
A219BS010101,140.270,1966.602,-0.580
A219BS010101,140.597,1966.224,-0.579
A219BS010101,140.921,1965.843,-0.579
A219BS010101,141.244,1965.461,-0.577
A219BS010101,141.565,1965.078,-0.577
A219BS010101,141.885,1964.694,-0.577
A219BS010101,142.206,1964.310,-0.577
A219BS010101,142.526,1963.927,-0.577
A219BS010101,142.847,1963.543,-0.577
A219BS010101,143.168,1963.160,-0.576
A219BS010101,143.481,1962.770,-0.577
A219BS010101,143.793,1962.379,-0.578
A219BS010101,144.106,1961.990,-0.579
A219BS010101,144.420,1961.600,-0.579
A219BS010101,144.735,1961.212,-0.579
A219BS010101,145.049,1960.822,-0.579
A219BS010101,145.362,1960.433,-0.579
A219BS010101,145.676,1960.044,-0.578
A219BS010101,145.988,1959.653,-0.579
A219BS010101,146.299,1959.262,-0.580
A219BS010101,146.610,1958.870,-0.581
A219BS010101,146.919,1958.477,-0.581
A219BS010101,147.229,1958.085,-0.582
A219BS010101,147.538,1957.692,-0.583
A219BS010101,147.846,1957.298,-0.584
A219BS010101,148.153,1956.903,-0.585
A219BS010101,148.459,1956.507,-0.586
A219BS010101,148.762,1956.110,-0.587
A219BS010101,149.065,1955.712,-0.587
A219BS010101,149.367,1955.314,-0.588
A219BS010101,149.668,1954.915,-0.587
A219BS010101,149.969,1954.515,-0.587
A219BS010101,150.269,1954.116,-0.586
A219BS010101,150.570,1953.716,-0.585
A219BS010101,150.870,1953.316,-0.584
A219BS010101,151.171,1952.917,-0.583
A219BS010101,151.470,1952.516,-0.582
A219BS010101,151.769,1952.116,-0.581
A219BS010101,152.068,1951.715,-0.579
A219BS010101,152.367,1951.314,-0.578
A219BS010101,152.664,1950.912,-0.577
A219BS010101,152.961,1950.509,-0.577
A219BS010101,153.257,1950.107,-0.577
A219BS010101,153.554,1949.704,-0.577
A219BS010101,153.850,1949.301,-0.577
A219BS010101,154.146,1948.898,-0.578
A219BS010101,154.442,1948.495,-0.577
A219BS010101,154.737,1948.091,-0.577
A219BS010101,155.032,1947.688,-0.577
A219BS010101,155.325,1947.283,-0.577
A219BS010101,155.617,1946.877,-0.577
A219BS010101,155.909,1946.471,-0.576
A219BS010101,156.198,1946.063,-0.575
A219BS010101,156.486,1945.654,-0.575
A219BS010101,156.773,1945.245,-0.574
A219BS010101,157.060,1944.835,-0.574
A219BS010101,157.347,1944.426,-0.573
A219BS010101,157.633,1944.016,-0.573
A219BS010101,157.919,1943.605,-0.572
A219BS010101,158.204,1943.195,-0.572
A219BS010101,158.489,1942.784,-0.572
A219BS010101,158.772,1942.372,-0.571
A219BS010101,159.053,1941.958,-0.571
